Index;Time
0;0.056527224
1;0.057260231
2;0.057498190
3;0.057853962
4;0.056687295
5;0.056871557
6;0.057310089
7;0.057825651
8;0.056824609
9;0.057029600
10;0.057364695
11;0.057822288
12;0.056764945
13;0.055853954
14;0.055813167
15;0.055848627
16;0.055819662
17;0.055914967
18;0.055852512
19;0.055831568
20;0.055821769
21;0.055865303
22;0.055836702
23;0.055838674
24;0.055860750
25;0.055851889
26;0.055861308
27;0.055867395
28;0.055845773
29;0.055870036
30;0.055830706
31;0.055840231
32;0.055848453
33;0.055863081
34;0.055840678
35;0.055843327
36;0.055823684
37;0.055865812
38;0.055825752
39;0.055937307
40;0.055849801
41;0.055837190
42;0.055821713
43;0.055810039
44;0.055811283
45;0.055801848
46;0.055815590
47;0.055792927
48;0.055809847
49;0.055811922
50;0.055797957
51;0.055793680
52;0.055790131
53;0.055838040
54;0.055783398
55;0.055785943
56;0.055811457
57;0.055841762
58;0.055778214
59;0.055788207
60;0.055816429
61;0.055827828
62;0.055801207
63;0.055793856
64;0.055782027
65;0.055785041
66;0.055795762
67;0.055774610
68;0.055824030
69;0.055820846
70;0.055858026
71;0.055807915
72;0.055797596
73;0.055797589
74;0.055795551
75;0.055783878
76;0.055772881
77;0.055796467
78;0.055794846
79;0.055776558
80;0.055788217
81;0.055807429
82;0.055779766
83;0.055772207
84;0.055789752
85;0.055822610
86;0.055777968
87;0.055831450
88;0.055798422
89;0.055843780
90;0.055787419
91;0.055796318
92;0.055798447
93;0.055838544
94;0.055785933
95;0.055794728
96;0.055793992
97;0.055823100
98;0.055762989
99;0.055794024
100;0.055815839
101;0.055815468
102;0.055784628
103;0.055794048
104;0.055805238
105;0.055822679
106;0.055798923
107;0.055815270
108;0.055797867
109;0.055808746
110;0.055811239
111;0.055809044
112;0.055806485
113;0.055833561
114;0.055801731
115;0.055809276
116;0.055779478
117;0.055796867
118;0.055803891
119;0.055783156
120;0.055787107
121;0.055831839
122;0.055777092
123;0.055820940
124;0.055826662
125;0.055832332
126;0.055784929
127;0.055907474
128;0.055840956
129;0.055804544
130;0.055785840
131;0.055783020
132;0.055804836
133;0.055786391
134;0.055822790
135;0.055781325
136;0.055764964
137;0.055798498
138;0.055837606
139;0.055813067
140;0.055781498
141;0.055801178
142;0.055799609
143;0.055795174
144;0.055802562
145;0.055783337
146;0.055815466
147;0.055811083
148;0.055797065
149;0.055798205
150;0.055810958
151;0.055794857
152;0.055794537
153;0.055788541
154;0.055787283
155;0.055814880
156;0.055807425
157;0.055801585
158;0.055780015
159;0.055800268
160;0.055796772
161;0.055808483
162;0.055795611
163;0.055789719
164;0.055819347
165;0.055806892
166;0.055796417
167;0.055786878
168;0.055787548
169;0.055802489
170;0.055811596
171;0.055823255
172;0.055791477
173;0.055784856
174;0.055797452
175;0.055812602
176;0.055786814
177;0.055805869
178;0.055782580
179;0.055807938
180;0.055819962
181;0.055803496
182;0.055769896
183;0.055800358
184;0.055794517
185;0.055798781
186;0.055788981
187;0.055775381
188;0.055814800
189;0.055796096
190;0.055801661
191;0.055791758
192;0.055813730
193;0.055795338
194;0.055791945
195;0.055798918
196;0.055800056
197;0.055795726
198;0.055796188
199;0.055778524
200;0.055794455
201;0.055786219
202;0.055792774
203;0.055811621
204;0.055790780
205;0.055806971
206;0.055800193
207;0.055800186
208;0.055804241
209;0.055788662
210;0.055806832
211;0.055805731
212;0.055783849
213;0.055842331
214;0.055791126
215;0.055784713
216;0.055787413
217;0.055802406
218;0.055807087
219;0.055781662
220;0.055808791
221;0.055805450
222;0.055808933
223;0.055785591
224;0.055788866
225;0.055792557
226;0.055776248
227;0.055810720
228;0.055817588
229;0.055783102
230;0.055780594
231;0.055780432
232;0.055788550
233;0.055787032
234;0.055811556
235;0.055811705
236;0.055784720
237;0.055774764
238;0.055770383
239;0.055805584
240;0.055781827
241;0.055804737
242;0.055780719
243;0.055772952
244;0.055808101
245;0.055773771
246;0.055772515
247;0.055795424
248;0.055805416
249;0.055804733
250;0.055776966
251;0.055789510
252;0.055775650
253;0.055806892
254;0.055799802
255;0.055783389
256;0.055802600
257;0.055780250
258;0.055787743
259;0.055784351
260;0.055803926
261;0.055804440
262;0.055791413
263;0.055826354
264;0.055779055
265;0.055790559
266;0.055778520
267;0.055799815
268;0.055778715
269;0.055862509
270;0.055796981
271;0.055798902
272;0.055810041
273;0.055810137
274;0.055765235
275;0.055791426
276;0.055777253
277;0.055789954
278;0.055787967
279;0.055789106
280;0.055786860
281;0.055767582
282;0.055782992
283;0.055769808
284;0.055793550
285;0.055788648
286;0.055793849
287;0.055795873
288;0.055777325
289;0.055775755
290;0.055800852
291;0.055794023
292;0.055786776
293;0.055775363
294;0.055771762
295;0.055802432
296;0.055778259
297;0.055788825
298;0.055800901
299;0.055804956
300;0.055765782
301;0.055778223
302;0.055811863
303;0.055783001
304;0.055769348
305;0.055789081
306;0.055812720
307;0.055780473
308;0.055779008
309;0.055765095
310;0.055839306
311;0.055786695
312;0.055771948
313;0.055777254
314;0.055787923
315;0.055779739
316;0.055775253
317;0.055775611
318;0.055801228
319;0.055797211
320;0.055795642
321;0.055785843
322;0.055797034
323;0.055780099
324;0.055778374
325;0.055807586
326;0.055768308
327;0.055772363
328;0.055791263
329;0.055793078
330;0.055797915
331;0.055806032
332;0.055788838
333;0.055782685
334;0.055781272
335;0.055783869
336;0.055776258
337;0.055781980
338;0.055779629
339;0.055792851
340;0.055791959
341;0.055807681
342;0.055793455
343;0.055804333
344;0.055827295
345;0.055792757
346;0.055799156
347;0.055783003
348;0.055788100
349;0.055829446
350;0.055780742
351;0.055789485
352;0.055771301
353;0.055783637
354;0.055792901
355;0.055810499
356;0.055790127
357;0.055785693
358;0.055793655
359;0.055800158
360;0.055790359
361;0.055799936
362;0.055853521
363;0.055788307
364;0.055792102
365;0.055777512
366;0.055799952
367;0.055867914
368;0.055839104
369;0.055838629
370;0.055791695
371;0.055797261
372;0.055783191
373;0.055796622
374;0.055789636
375;0.055801712
376;0.055826392
377;0.055788677
378;0.055781795
379;0.055781266
380;0.055816780
381;0.055809586
382;0.055782183
383;0.055821499
384;0.055798002
385;0.055804975
386;0.055784030
387;0.055792929
388;0.055818860
389;0.055797498
390;0.055798377
391;0.055799255
392;0.055791956
393;0.055766377
394;0.055783349
395;0.055812664
396;0.055791928
397;0.055790359
398;0.055786497
399;0.055793365
400;0.055796900
401;0.055793715
402;0.055787719
403;0.055789483
404;0.055800830
405;0.055799521
406;0.055781962
407;0.055775184
408;0.055803770
409;0.055805899
410;0.055799693
411;0.055788072
412;0.055803117
413;0.055787433
414;0.055783312
415;0.055798565
416;0.055791370
417;0.055781520
418;0.055781930
419;0.055767443
420;0.055784623
421;0.055803106
422;0.055771954
423;0.055793665
424;0.055781731
425;0.055765838
426;0.055781301
427;0.055778428
428;0.055782171
429;0.055791800
430;0.055769449
431;0.055785379
432;0.055810685
433;0.055804115
434;0.055797441
